Placement: [1, 2]
size of micro-batches = 1, execution time = 154.9723334312439 s, throughput = 77.4331761954401 samples/sec
size of micro-batches = 2, execution time = 80.42482137680054 s, throughput = 149.20766741623797 samples/sec
size of micro-batches = 4, execution time = 45.80585694313049 s, throughput = 261.9752320079592 samples/sec
size of micro-batches = 8, execution time = 29.06099557876587 s, throughput = 412.9246008615099 samples/sec
Placement: [1, 1, 2, 2]
size of micro-batches = 1, execution time = 90.05938339233398 s, throughput = 133.2454159465349 samples/sec
size of micro-batches = 2, execution time = 49.78930473327637 s, throughput = 241.01561699414285 samples/sec
size of micro-batches = 4, execution time = 31.83312177658081 s, throughput = 376.96585601064845 samples/sec
size of micro-batches = 8, execution time = 23.645028352737427 s, throughput = 507.5062639377524 samples/sec
Placement: [1, 1, 2]
size of micro-batches = 1, execution time = 155.630108833313 s, throughput = 77.1059025143557 samples/sec
size of micro-batches = 2, execution time = 80.43669104576111 s, throughput = 149.18564953365745 samples/sec
size of micro-batches = 4, execution time = 45.88391304016113 s, throughput = 261.5295689689037 samples/sec
size of micro-batches = 8, execution time = 29.85355544090271 s, throughput = 401.9621724372119 samples/sec
Placement: [1, 2, 2]
size of micro-batches = 1, execution time = 89.15488147735596 s, throughput = 134.59722901485574 samples/sec
size of micro-batches = 2, execution time = 47.909717082977295 s, throughput = 250.4711096334922 samples/sec
size of micro-batches = 4, execution time = 31.244425058364868 s, throughput = 384.06851710613626 samples/sec
size of micro-batches = 8, execution time = 23.16638159751892 s, throughput = 517.9919854762808 samples/sec
